round,accuracy,training_time,round_time
1,51.21,0.3400651030242443,3.361557616852224
2,61.199999999999996,0.4082058980129659,3.2545711011625826
3,67.56,0.4237453918904066,2.820426163962111
4,68.47999999999999,0.42448343290016055,2.828335537109524
5,66.49000000000001,0.41161265200935304,2.802038826048374
6,70.84,0.309394434094429,2.7178526318166405
7,71.23,0.3044774888549,2.788988647982478
8,70.42,0.3315862200688571,2.728431951953098
9,71.94,0.3747198290657252,2.7789175929501653
10,72.11,0.3144263089634478,2.726098897168413
11,73.3,0.3740605399943888,2.7855007839389145
12,75.07000000000001,0.30251530301757157,2.71241830708459
13,75.46000000000001,0.3118202311452478,2.727718702983111
14,75.06,0.31294654589146376,2.7489869128912687
15,74.75,0.3708820741157979,2.7623058040626347
16,74.63,0.3160803350619972,2.7251861039549112
17,73.9,0.29026930197142065,2.6908282230142504
18,74.51,0.3012312389910221,2.6995972990989685
19,73.69,0.380426375195384,2.786004771012813
20,75.1,0.37380522792227566,2.7653312659822404
21,74.35000000000001,0.367613541893661,2.875987652922049
22,77.51,0.2998639128636569,2.7065725568681955
23,75.86,0.30046090413816273,2.7145317520480603
24,74.13,0.3627655180171132,2.7353897870052606
25,75.27000000000001,0.31673566601239145,3.1522178980521858
26,77.53999999999999,0.35513603687286377,2.743251489009708
27,76.74,0.3228156790137291,3.194927718024701
28,76.23,0.2958551631309092,3.1927217561751604
29,78.42,0.3423484149388969,3.177945645991713
30,78.57,0.3014071660581976,3.15380400698632
31,77.42,0.29646135377697647,2.7020727519411594
32,76.18,0.2937221329193562,3.164041336858645
33,75.4,0.30022780504077673,3.1496277721598744
34,75.37,0.29734824993647635,2.73010695213452
35,76.9,0.3169924800749868,2.715647883946076
36,77.95,0.29874777304939926,2.7034972950350493
37,76.55,0.2983747550752014,2.6973639209754765
38,77.25,0.34215515409596264,2.738290654029697
39,76.81,0.3040156359784305,2.7421574289910495
40,75.8,0.29384162300266325,2.7291055938694626
41,75.38,0.31879090098664165,2.7957741350401193
42,77.3,0.29349877196364105,2.708398778922856
43,76.59,0.29605130502022803,2.693516972940415
44,78.38000000000001,0.2895262259989977,2.692417643032968
45,78.28,0.30281985411420465,2.686552567174658
46,77.53,0.28936918708495796,2.6822371219750494
47,77.92,0.35365277784876525,2.7543389799539
48,76.69,0.3138725310564041,2.7301572198048234
49,78.27,0.29222290799953043,2.6981918308883905
50,76.44999999999999,0.30002469499595463,2.7281459390651435
