round,accuracy,training_time,round_time,loss
1,10.0,3.1433239000000004,5.315026700000001,2.3885238647460936
2,15.49,3.2449809000000016,5.275603999999998,3.239705492258072
3,38.45,2.8596985000000004,4.961929999999999,2.0509407365322114
4,50.64999999999999,2.8575283999999996,4.9223435,1.6086593022942544
5,41.120000000000005,2.7184206999999994,4.894913099999997,2.006119777560234
6,51.0,3.045010099999999,5.1525463999999985,1.3045007774233819
7,51.57000000000001,3.1348719000000003,5.2571473,1.3484945559501649
8,54.26,2.880478200000006,5.303094299999998,1.4557450932264329
9,64.12,3.4716065,5.601102100000006,0.9556264907121659
10,63.33,2.9226718999999974,5.165043300000001,0.9376826471090317
11,63.839999999999996,3.1224210000000028,5.328866200000007,1.040274103283882
12,56.879999999999995,2.8484557999999964,4.999030300000001,0.9860736212134361
13,65.75,2.7447766999999885,4.964466299999998,0.8702044039964676
14,58.84,3.5164888000000047,5.77191049999999,0.9331930723786354
15,65.19,2.7805838000000023,4.956219899999994,0.8758619970083237
16,72.22,2.999421500000011,5.156899500000009,0.7260086555778981
17,68.17999999999999,2.9282413000000105,5.142946400000014,0.7685137179493904
18,69.99,2.8439036999999985,5.066526700000011,0.7107923620939255
19,69.46,2.7504168000000107,4.9835049,0.7716203391551971
20,71.67,3.0009854999999988,5.213928899999999,0.7125016258656979
21,72.42,2.8265280000000104,5.153318299999995,0.7478805182874203
22,71.78999999999999,2.7755393999999995,5.083238399999999,0.7683508314192296
23,72.06,3.1937282000000096,5.501403400000001,0.8312122282385827
24,74.97,5.047163000000012,7.382639299999994,0.7633636757731438
25,73.89,3.7353892000000144,5.926252099999999,0.7720223008096219
