round,accuracy,training_time,round_time,loss
1,10.9,4.8994614,6.9680312,2.3438502871990203
2,17.25,4.848065599999998,7.110201200000002,5.6653930222988125
3,17.93,4.287248400000003,6.551777899999998,2.3251566767692564
4,23.76,4.661407500000003,6.839622499999997,3.56090087890625
5,19.91,4.783336499999997,7.034132900000003,2.704221702814102
6,28.9,4.192745599999995,6.421589899999994,2.331351407766342
7,21.46,4.6027514000000025,6.7967698,4.029966222047806
8,33.129999999999995,4.7058459,6.914554500000001,2.8095391756296157
9,30.7,4.853896700000007,7.024478900000005,2.6684562093019486
10,34.239999999999995,4.757087900000002,7.1696395999999964,1.9098604410886764
11,31.65,4.723571899999996,7.055392100000006,1.9357168936729432
12,43.16,4.958675099999994,7.174684400000004,1.816872044801712
13,47.44,4.458375200000006,6.633070599999996,1.984861403107643
14,40.27,4.574271700000011,6.7778405999999904,1.8488990807533263
15,43.74,4.406662300000008,6.578556799999987,1.8725162714719772
16,51.629999999999995,4.7644813,6.9812127999999944,1.5294325703382492
17,46.58,4.528027500000007,6.713783899999996,1.6004306715726853
18,52.25,4.770705399999997,7.020855899999987,1.3379154804348945
19,49.82,4.541457700000024,6.7993339999999876,1.3896669289469719
20,49.36,5.154744600000015,7.704025599999994,1.2209850925207137
21,48.71,4.746226100000001,6.969150100000007,1.176943148970604
22,50.73,4.695355399999983,6.890797200000009,1.8255179449915886
23,50.06,4.736740999999995,6.9670386000000235,2.2036027681827544
24,56.55,3.437142999999992,5.562090299999994,1.647382065653801
25,57.19,3.275152399999996,5.525438900000012,1.3087966808676719
26,51.239999999999995,3.6045514999999853,5.892135999999994,1.5591129130125045
27,53.31,2.71915869999998,4.800249400000013,1.4080785936117173
28,56.779999999999994,2.880070200000006,4.958787700000016,1.2872453901171683
29,62.01,2.7755717000000004,4.945029000000005,1.0486181816458702
30,49.65,2.896168899999992,4.973776700000002,1.3475603485107421
31,49.78,2.835035000000005,4.92698390000001,1.6433370631933213
32,48.17,2.9840475999999967,5.1274449,1.6426264661550523
33,53.13,3.0660219000000097,5.219326199999983,1.1499253991246223
34,55.85,3.4627265000000023,5.520072800000008,1.5375537133216859
35,46.57,3.572178600000001,5.743171599999982,1.5581384265422822
36,45.17,2.830239799999987,4.947443200000009,1.5292147618532181
37,49.26,2.792908400000016,4.918885099999983,1.3867080524563788
38,47.68,3.095710799999978,5.071954599999998,1.458968666791916
39,54.36,2.8827922000000115,4.937971500000003,1.4350869053602218
40,48.24,2.846290500000009,4.977186300000028,1.6941624629497527
41,52.16,2.688162900000009,4.9413008999999875,1.4594195646047592
42,40.410000000000004,3.071638699999994,5.3282550999999785,1.4462244021892547
43,45.73,3.5420129000000316,6.175647500000025,1.6573218429088592
44,53.21,3.0700597999999673,6.668194999999969,1.5312297824025154
45,59.150000000000006,3.7396565000000237,6.153205700000001,1.2811136081814767
46,56.81,3.505254799999989,5.656476499999997,1.3153775817155837
47,53.5,3.8102029000000357,5.976515499999948,1.1891858235001564
48,45.379999999999995,4.022366599999998,6.407850400000029,1.504959800839424
49,47.099999999999994,3.384101699999974,5.514315199999999,1.3742588585615159
50,39.47,3.406193900000005,6.072722999999996,1.7371814090013504
