round,accuracy,training_time,round_time,loss
1,10.0,1.7920697247609496,4.9554886482656,2.6511584067344667
2,19.73,1.0479185581207275,4.340353398583829,16.453628616333006
3,16.37,0.9038046887144446,4.146985202096403,6.464032895565033
4,22.220000000000002,1.0817717518657446,4.345410893671215,2.573096709251404
5,21.42,1.3507853401824832,4.655714216642082,12.43236177444458
6,19.98,1.2263151537626982,4.530031909234822,48.59267032623291
7,26.77,1.0695815980434418,4.401079466566443,4.363174346685409
8,19.81,1.1413835594430566,4.343654510565102,2.9928928673267365
9,27.73,0.8079857314005494,4.1286819549277425,6.20782986164093
10,21.59,0.9493417991325259,4.239106651395559,24.011015830039977
11,37.72,1.2193711325526237,4.54251360334456,3.395334357023239
12,46.71,1.1815541721880436,4.42141114640981,2.5610143452882768
13,28.17,1.0666821068152785,4.342196389101446,11.925782837867736
14,37.13,0.7517916550859809,4.191742000170052,3.0927463114261626
15,40.07,0.9372603055089712,4.236617084592581,2.287876390218735
16,36.34,0.828090968541801,4.063300427980721,3.572338882088661
17,39.04,0.9171386081725359,4.192148790694773,5.082485942840576
18,39.15,1.0314322048798203,4.280966458842158,7.06127391576767
19,31.900000000000002,0.7183458376675844,4.101018660701811,11.34679591178894
20,29.94,1.5357408206909895,4.760865614749491,8.190205204486848
21,23.11,1.2606223914772272,4.494503138586879,2.853793874979019
22,38.01,1.5416362974792719,4.687877153046429,2.8323754268884658
23,32.16,1.2549149822443724,4.561743875965476,3.563271247148514
24,36.82,1.1863332390785217,4.397037983871996,6.755408436059952
25,10.08,0.9486204879358411,4.218577681109309,5.7762418913841245
26,10.059999999999999,0.8199004884809256,4.160483026877046,3.995282207727432
27,10.11,1.098352124914527,4.338203500024974,4.17707486987114
28,10.16,1.0669976891949773,4.326838670298457,5.452096608877182
29,10.040000000000001,1.0747264763340354,4.311807366088033,4.669657074213028
30,10.0,0.8234510207548738,4.053413117304444,5.397296022176743
31,10.09,0.8482647761702538,4.241119768470526,6.2644518530368805
32,10.07,1.5100752813741565,4.923645289614797,7.206291892528534
33,10.03,1.5297778649255633,4.815700352191925,8.236633791923524
34,10.03,0.6935760052874684,4.09643392264843,10.46742687702179
35,10.01,1.3642530124634504,4.702969675883651,12.997730957269669
36,10.040000000000001,1.66034537833184,4.935618225485086,20.095782423019408
37,10.0,0.6655420968309045,4.069792076945305,3.9644807839393614
38,10.0,1.7550650388002396,4.961464709602296,3.7366575276851655
39,10.0,1.7185815200209618,4.826189508661628,3.546920841932297
40,10.0,0.5907293446362019,3.9158500293269753,3.4046461403369905
41,10.0,0.8348338138312101,4.107767942361534,3.2234561908245087
42,10.0,1.3942931294441223,4.66709244158119,3.0923686826229098
43,10.0,0.9026104286313057,4.142148562707007,2.9728496146202086
44,10.0,0.8222773093730211,4.088047351688147,2.8932794415950776
45,10.0,0.851129861548543,4.188050291500986,2.819106488227844
46,10.0,1.1584621537476778,4.319287426769733,2.747190002202988
47,10.0,0.8510286454111338,4.141432046890259,2.650847387313843
48,10.0,1.3875492718070745,4.740841239690781,2.5966183853149416
49,10.0,1.002007432281971,4.3558755572885275,2.5863068294525147
50,10.0,1.0233662594109774,4.281305707991123,2.613556572198868
51,10.0,0.9524446940049529,4.310320910997689,2.6593862414360045
52,10.0,1.5983857782557607,4.835249662399292,2.7083409416675566
53,10.0,1.0195649033412337,4.292550873942673,2.820015823841095
54,10.0,1.1660804757848382,4.409203266724944,2.890643689632416
55,10.0,0.8504267148673534,4.008903982117772,2.9799150466918944
56,10.0,0.8753505805507302,4.1064817905426025,3.0935240840911864
57,10.0,1.145569539628923,4.390556203201413,3.205223631858826
58,10.0,0.9703591056168079,4.241312587633729,3.320592231750488
59,10.0,1.6600691098719835,4.937615171074867,3.4681187975406647
60,10.0,1.1776242954656482,4.507786886766553,3.706386635303497
61,10.0,1.8834466701373458,4.971523489803076,3.9472100567817687
62,10.0,1.4929548846557736,4.852803647518158,4.141312003135681
63,10.0,0.8784836176782846,4.146848198026419,4.42142629981041
64,10.0,0.9446996282786131,4.210880011320114,4.581941150426864
65,10.0,1.028668124228716,4.293789112940431,4.802217516899109
66,10.0,1.1698430152609944,4.45963342115283,5.041102994680404
67,10.0,1.0747593948617578,4.387731329537928,5.443546105623245
68,10.0,0.880182002671063,4.181233750656247,5.712258275747299
69,10.0,1.0192248411476612,4.3182650953531265,5.984850987195968
70,10.0,1.5344668319448829,4.733853884041309,6.2820422339439395
71,10.0,2.0922620529308915,5.166951985098422,6.536243844032287
72,10.0,1.3858384741470218,4.678966268897057,9340862.9125
73,10.0,1.0931858466938138,4.369437906891108,104427.2712890625
74,10.0,1.0471567902714014,4.326280061155558,66562.5798046875
75,10.0,0.8080506874248385,4.082905448041856,71131.8091796875
76,10.0,1.2201058911159635,4.57610784843564,80456.2923828125
77,10.0,1.5492322277277708,4.744493720121682,56591.1816015625
78,10.0,1.2063441257923841,4.4979421105235815,48237.3844921875
79,10.0,1.2346158642321825,4.427635772153735,62652.7733203125
80,10.0,1.0514334300532937,4.383632337674499,53098.73853515625
