round,accuracy,training_time,round_time
1,55.13,0.14116950000000017,1.5321546999999995
2,59.93000000000001,0.15429110000000001,1.529441799999999
3,67.66,0.19479899999999972,1.5381412999999995
4,68.93,0.13979030000000137,1.4562919999999995
5,69.46,0.12129460000000059,1.4429931000000025
6,73.21,0.17453049999999948,1.4959340999999995
7,73.79,0.20615549999999772,1.5062867000000004
8,71.89999999999999,0.2043494999999993,1.5406777999999974
9,72.56,0.1461459000000005,1.4804558000000014
10,74.36,0.21437390000000178,1.5458141999999988
11,73.42,0.18865710000000036,1.5514880000000026
12,76.3,0.15900299999999845,1.4815289000000007
13,75.9,0.16824469999999891,1.4902322999999988
14,74.65,0.24054119999999912,1.5880162999999996
15,75.76,0.1415575000000011,1.4695384999999987
16,76.61,0.28107869999999835,1.6174205999999955
17,76.47,0.14769259999999917,1.466352300000004
18,74.21,0.2571796000000006,1.5969685000000027
19,75.87,0.1384945000000002,1.4972683000000018
20,75.98,0.13497780000000148,1.4906448000000054
21,76.97,0.1924279999999996,1.5145786
22,78.02,0.2091276000000022,1.5386786999999984
23,77.62,0.11759440000000154,1.4402832999999973
24,75.86,0.13227670000000558,1.4370811000000003
25,76.27000000000001,0.2521042000000051,1.5699722000000023
26,77.86999999999999,0.1980347000000009,1.5095075999999992
27,76.92,0.2193903000000006,1.5513375999999965
28,77.10000000000001,0.14604380000000106,1.4777679999999975
29,78.59,0.18937700000000035,1.5058441999999985
30,78.03999999999999,0.2578251999999992,1.5857677999999993
31,76.97,0.1575445000000002,1.4848369000000048
32,77.56,0.1547305999999935,1.4842634999999973
33,78.18,0.16065129999999783,1.489350100000003
34,77.44,0.16442999999999586,1.530056700000003
35,77.99000000000001,0.2370439000000033,1.5905383999999998
36,77.31,0.25705000000000666,1.5858349000000018
37,77.89,0.23455229999999716,1.5674352999999996
38,78.9,0.12220730000001367,1.4543912000000034
39,78.72,0.21206789999999387,1.5234429000000063
40,76.13,0.20993399999998985,1.5316576000000026
41,76.79,0.21890159999999526,1.5474854999999934
42,78.42,0.1670588000000066,1.5069917999999944
43,77.72,0.12908989999999676,1.500703999999999
44,78.28,0.1809817000000038,1.4846528000000063
45,78.13,0.1529364999999956,1.479202799999996
46,78.79,0.14614159999999288,1.4694075000000026
47,78.19,0.11951979999999196,1.4531269000000009
48,78.08,0.13336859999999717,1.462133499999993
49,78.13,0.11897499999999184,1.4279656999999872
50,77.12,0.3258569999999992,1.6644686000000064
