round,accuracy,training_time,round_time,loss
1,16.81,0.8411863999999998,2.782043700000001,2.2971314775943754
2,25.590000000000003,1.1533593,3.1301263000000006,2.2794847494363784
3,28.04,1.8745930999999985,3.890688400000002,1.9936040878295898
4,23.02,1.0885757000000034,3.0543104999999997,8.087413985729217
5,26.1,1.2972226000000013,3.3379156000000023,9.836511797904969
6,11.129999999999999,2.3152465999999983,4.3428538,4.068007271289826
7,13.389999999999999,1.7545794000000008,3.8404821999999967,6.045650787353516
8,15.909999999999998,1.6350286999999994,3.650314999999999,6.474482700824738
9,22.33,1.054308600000006,3.117585599999998,3.332018164396286
10,19.88,1.829442499999999,3.844871900000001,20.94869580745697
11,11.110000000000001,1.0420536999999968,3.0941357999999966,2.3775877285003664
12,20.69,1.2814087999999941,3.2986642999999987,3.499961551427841
13,25.580000000000002,2.2467406000000025,4.258293100000003,4.0747255980968475
14,37.16,1.5873624999999976,3.591314599999997,3.1848917531967165
15,19.86,1.3782731000000013,3.4212644999999995,22.095984740257265
16,17.630000000000003,1.5422479000000067,3.521374299999998,2.450900037288666
17,10.280000000000001,1.2326930000000118,3.2331147000000016,3.466776056289673
18,17.169999999999998,1.3060164999999984,3.3101807999999977,2.15547047495842
19,28.999999999999996,1.8430376999999964,3.8283555999999948,2.4879592710733416
20,24.72,1.6759976000000023,3.6646618999999987,4.587549670934677
21,21.85,1.7543926999999968,3.801702999999989,10.168142266273499
22,26.169999999999998,1.2542746999999963,3.2843244999999968,2.6822351318597795
23,49.01,2.225523899999999,4.195150600000005,1.4836120289564132
24,29.86,1.7410796000000062,3.778991199999993,2.3526120299100874
25,35.839999999999996,1.3439786999999939,3.3953156999999976,2.8980386167764665
26,35.49,1.7094601000000011,3.6967374999999976,2.047947915792465
27,23.93,1.5346119999999956,3.5688003000000066,1.8624852526187896
28,27.46,1.0353831999999983,3.0194553999999982,1.8661117267608642
29,32.67,1.7266710000000103,3.7953039999999874,1.8531024169921875
30,42.53,1.5863661000000064,3.588017199999996,1.8632297480106355
31,40.03,1.5723452000000009,3.560763399999999,2.268817363977432
32,39.89,1.553830099999999,3.5715174000000047,1.397077604830265
33,43.669999999999995,1.9013788000000034,3.919415100000009,1.6226174634695054
34,50.81,1.1270161000000058,3.102222200000014,1.5840978837013244
35,33.800000000000004,2.05557970000001,4.027820999999989,2.43022410094738
36,36.39,1.8328147000000001,3.802960200000001,3.7793733286857605
37,32.41,1.138559000000015,3.1041792999999984,2.343935595750809
38,29.57,0.9457049000000097,2.938908800000007,2.6903983998298644
39,46.089999999999996,1.0763941999999815,3.0853711000000033,1.5802027422189713
40,49.86,1.0691195999999934,3.024532899999997,1.6679023438692093
41,47.15,1.9986582000000226,3.9809563000000026,3.3154578214883803
42,50.74999999999999,1.2396300999999994,3.245286099999987,2.260392637848854
43,42.85,1.0072112000000004,3.0148900000000083,2.7630628186464308
44,33.01,1.6162518000000148,3.620916699999981,3.295957142114639
45,31.25,1.5029990000000168,3.5253511999999887,2.741599842309952
46,23.02,1.8749663000000112,3.8831604000000084,2.116275145411491
47,25.629999999999995,1.4761027999999783,3.432395000000014,3.0311142778396607
48,27.74,1.24144339999998,3.2660841999999946,3.006999808549881
49,27.24,1.159835600000008,3.1496946000000037,2.8051339268684385
50,29.34,1.3624671999999975,3.395115500000003,2.925647021532059
51,26.21,1.1129919999999913,3.109418000000005,2.2918571281433104
52,27.16,1.0261433999999952,3.0328963999999985,2.0357205283641817
53,45.660000000000004,2.072901800000011,4.103713499999998,1.414681341946125
54,38.5,1.2075993999999923,3.201582000000002,3.1881150579452515
55,36.69,1.0794289999999762,3.047651799999983,2.973189412355423
56,26.83,1.779260100000016,3.7880732999999793,4.515625371932983
57,19.99,2.6072353000000135,4.577322600000002,2.0805399012565613
58,45.519999999999996,2.166567299999997,4.21546859999998,1.553102353811264
59,41.89,1.1987855000000138,3.208929999999981,1.888954336643219
60,40.25,1.5305654999999945,3.549373199999991,3.527920149564743
61,42.08,1.0591733999999917,3.0413929999999993,2.1166591638326646
62,42.85,2.7688169999999843,4.698667700000016,2.0234841883182524
63,43.41,1.7517672999999832,3.758064100000013,1.6644450312852859
64,34.99,1.568361799999991,3.549776500000007,2.446054897904396
65,44.62,0.8911304000000086,2.9068934999999954,1.6466921645402908
66,45.410000000000004,1.4293327999999974,3.529370799999981,1.674395214319229
67,42.17,1.2414665999999954,3.2302497999999957,1.9748890918493271
68,54.53,0.9804815999999903,2.955613900000003,1.3022592210769652
69,41.67,1.3299063999999987,3.308340600000008,3.0161538803577423
70,51.6,0.9889298000000224,3.022418899999991,2.661111617088318
71,57.4,1.7871550000000127,3.7800689999999975,1.8467945259809495
72,47.5,1.2394871000000194,3.2288253000000395,1.8091016626358032
73,52.669999999999995,1.8022585999999592,3.7964071000000104,1.6251727449893951
74,43.47,1.8891331000000378,3.9513893999999823,1.9865282708406449
75,40.11,1.945421300000021,4.0100620999999705,1.6686157298088073
76,34.67,1.1841926999999828,3.1212328999999954,2.7417359453439714
77,39.379999999999995,1.2183966000000055,3.161384700000042,2.2293030709028243
78,47.81,1.904132699999991,3.9282747000000313,1.7223392498493195
79,51.690000000000005,1.8617532000000097,3.8778374999999983,1.8011833024024964
80,54.1,1.2391651000000365,3.2246880999999803,1.193487858772278
