round,accuracy,training_time,round_time,loss
1,10.07,3.2266367999999996,5.204315599999999,2.2782058572769164
2,18.82,2.9170818999999995,4.954321499999999,2.117591622471809
3,48.75,2.8166708000000007,4.945563400000001,1.2983115661144256
4,53.18000000000001,2.6693982,4.8175615,1.38408339291811
5,61.21,3.0141337999999998,5.130026600000001,0.9662342691421508
6,68.13,2.8491282999999967,4.924650200000002,0.8250061151385307
7,70.64,2.909811100000006,5.0208279000000005,0.7381140634417533
8,71.87,2.7892896999999977,4.845150400000001,0.7306256437301636
9,73.0,2.663461699999999,4.8091571,0.7278942279517651
10,73.7,2.7653012999999973,4.861457999999999,0.7055014891922474
11,75.28,2.702523399999997,4.804395700000001,0.672684621810913
12,73.33,2.777700700000004,4.849640999999991,0.6968292544782162
13,72.28999999999999,2.7610753000000017,4.842117700000003,0.6946387775242329
14,77.13,2.9350213999999966,5.047257999999999,0.6360483652353287
15,77.17,3.85156760000001,5.961076300000002,0.6462959518283605
16,77.61,2.804060100000001,4.911738299999996,0.6656744320690632
17,76.44999999999999,3.0024384999999967,5.113675799999996,0.7082442438602448
18,75.63,2.6845196999999956,4.762955099999999,0.7277889146655798
19,77.58,2.8035038000000014,4.9181045000000125,0.6952222909778356
20,78.25,2.7084674999999976,4.766120299999997,0.7031744192540645
21,77.11,2.928278699999993,5.059216600000013,0.7453591017425061
22,78.79,2.845582500000006,4.907804400000003,0.7048707693815232
23,78.64999999999999,2.7298136,4.767705700000008,0.7440398245304823
24,78.63,2.9340562000000006,5.031362300000012,0.7461560228466988
25,77.9,3.778148899999991,5.948104000000001,0.8000043135881424
26,77.68,2.753010499999988,4.859422200000012,0.8165700943768024
27,77.39,3.4443382999999983,5.510278,0.845165916532278
28,79.32000000000001,2.6902323000000194,4.813329899999985,0.8165371251106263
29,78.22,3.0065787000000057,5.109755699999994,0.8922263287007809
30,78.75999999999999,3.1235690000000034,5.2349035000000015,0.8861206715553999
31,77.25,2.9916273999999987,5.134579900000006,1.0165944869816304
32,79.47,2.7687870999999973,4.844826899999987,0.8637631898373366
33,78.47,2.749452500000018,4.8938399000000175,0.946010572463274
34,78.16,2.9560715000000073,5.061678600000022,0.9909010723233223
35,79.2,2.7062880000000007,4.827133599999996,0.9817214703559876
36,79.34,2.79690819999999,4.906282500000003,0.957488296404481
37,79.24,2.8578665,4.899639400000012,0.9740812716633082
38,79.54,2.8769578000000138,4.987227300000001,0.9314063777774573
39,77.12,2.743680799999993,4.871713600000021,1.1034309636056423
40,80.39,2.9047769999999957,5.040561300000007,1.0169559662789107
41,79.53,2.650536599999981,4.805244000000016,1.1010784740000963
42,78.67,2.7247965999999906,4.795670799999982,1.1511824364960193
43,78.13,2.722242300000005,4.8325346000000025,1.183032456189394
44,80.04,2.9292084999999872,5.051194299999992,1.1259780091047287
45,79.01,3.626485599999995,5.65828430000002,1.2336863154172897
46,79.86,2.7114148,4.870249399999977,1.2762810997664928
47,79.53,2.6864273000000196,4.8121735,1.3105612332373857
48,80.30000000000001,2.899700500000023,4.989165400000019,1.2203925067186356
49,79.0,2.805142200000006,4.917507799999981,1.2590198828279973
50,79.97999999999999,2.7611929999999916,4.857484999999997,1.2258529713004827
